ClassName,GlobalRef,Global,GlobalBytesUsed,GlobalKB,GlobalMB,GlobalGB,HasGlobalMap,Status,Rows,HasLog,HasCSV,SizeBytes,SizeKB,SizeMB,SizeGB,Note,BaseGlobal
,^%ISCWorkQueue,,0.0,,,,True,,,False,False,0.0,,,,,nan
%TSQL.sys.cacheMsgXRef,^%qCacheSQL,,0.0,,,,True,,,False,False,0.0,,,,,nan
SITE.GLAccession,^ACC,ACC,367332.0,358.72,0.3503,0.000342,True,OK,16406.0,True,True,2029937.0,1982.36,1.9359,0.001891,\Success\,ACC
SITE.GLAccessionHistory,^ANH,ANH,22086327992.0,21568679.68,21063.1637,20.569496,True,OK,201813386.0,True,True,31697140592.0,30954238.86,30228.7489,29.520263,\Success\,ANH
SITE.APBillWkLd,^AP,AP,297083456.0,290120.56,283.3209,0.276681,True,OK,0.0,True,True,85.0,0.08,0.0001,0.0,\Success\,AP
SITE.APMADiag,^API,API,7045304.0,6880.18,6.7189,0.006561,True,OK,33569.0,True,True,1565363.0,1528.67,1.4928,0.001458,\Success\,API
SITE.BBACC,^BB,BB,69607860.0,67976.43,66.3832,0.064827,True,OK,0.0,True,True,74.0,0.07,0.0001,0.0,\Success\,BB
SITE.BBLog,^BBLOG,BBLOG,12.0,0.01,0.0,0.0,True,OK,0.0,True,True,101.0,0.1,0.0001,0.0,\Success\,BBLOG
SITE.BBUnitDemo,^BBUA,BBUA,106857544.0,104353.07,101.9073,0.099519,True,OK,49431.0,True,True,4461657.0,4357.09,4.255,0.004155,\Success\,BBUA
SITE.BLT28Patient,^BLT,BLT,1936792.0,1891.4,1.8471,0.001804,True,OK,0.0,True,True,167.0,0.16,0.0002,0.0,\Success\,BLT
SITE.BBActiveUnits,^BPF,BPF,748105988.0,730572.25,713.4495,0.696728,True,OK,649.0,True,True,27339.0,26.7,0.0261,2.5e-05,\Success\,BPF
SITE.BBBSGen,^BSR,BSR,4764.0,4.65,0.0045,4e-06,True,OK,107.0,True,True,6145.0,6.0,0.0059,6e-06,\Success\,BSR
SITE.BBMerge,^BTH,BTH,53895292.0,52632.12,51.3986,0.050194,True,OK,432.0,True,True,30575.0,29.86,0.0292,2.8e-05,\Success\,BTH
SITE.MGWkldDay,^CAP,CAP,7501224.0,7325.41,7.1537,0.006986,True,OK,0.0,True,True,131.0,0.13,0.0001,0.0,\Success\,CAP
SITE.CBContact,^CB,CB,1401236.0,1368.39,1.3363,0.001305,True,OK,3941.0,True,True,1182562.0,1154.85,1.1278,0.001101,\Success\,CB
SITE.CBPHPhone,^CBPH,CBPH,5124.0,5.0,0.0049,5e-06,True,OK,2.0,True,True,543.0,0.53,0.0005,1e-06,\Success\,CBPH
SITE.CDBClient,^CDB,CDB,20.0,0.02,0.0,0.0,True,OK,0.0,True,True,502.0,0.49,0.0005,0.0,\Success\,CDB
SITE.GLComment,^CMT,CMT,3056895260.0,2985249.28,2915.2825,2.846956,True,OK,46700494.0,True,True,2022427421.0,1975026.78,1928.7371,1.883532,\Success\,CMT
SITE.CrossReference,^CRF,CRF,94459636.0,92245.74,90.0837,0.087972,True,OK,17545206.0,True,True,3988636801.0,3895153.13,3803.8605,3.714707,\Success\,CRF
SITE.MCDrug,^EPI,EPI,404015328.0,394546.22,385.299,0.376269,True,OK,0.0,True,True,111.0,0.11,0.0001,0.0,\Success\,EPI
SITE.BBATCD,^LBI,LBI,56618628.0,55291.63,53.9957,0.05273,True,OK,3.0,True,True,149.0,0.15,0.0001,0.0,\Success\,LBI
SITE.ULOGAN,^LOG,LOG,1392960.0,1360.31,1.3284,0.001297,True,OK,0.0,True,True,202.0,0.2,0.0002,0.0,\Success\,LOG
SITE.MCResAllCtxt,^MIC,MIC,150696520.0,147164.57,143.7154,0.140347,True,OK,0.0,True,True,36.0,0.04,0.0,0.0,\Success\,MIC
SITE.MCPtSusc,^NMIC,NMIC,8112444.0,7922.31,7.7366,0.007555,True,OK,0.0,True,True,306.0,0.3,0.0003,0.0,\Success\,NMIC
SITE.ROOrder,^ONL,ONL,1369453764.0,1337357.19,1306.0129,1.275403,True,OK,0.0,True,True,191.0,0.19,0.0002,0.0,\Success\,ONL
SITE.GLORDX,^ORDX,ORDX,128436468.0,125426.24,122.4866,0.119616,True,OK,8848543.0,True,True,566917602.0,553630.47,540.6548,0.527983,\Success\,ORDX
SITE.MAQC,^QC,QC,15217556.0,14860.89,14.5126,0.014172,True,OK,20144.0,True,True,502461.0,490.68,0.4792,0.000468,\Success\,QC
SITE.SREGAccLevel,^REG,,0.0,,,,True,OK,0.0,True,True,397.0,0.39,0.0004,0.0,\Success\,nan
