GlobalName,SizeBytes,SizeKB,Mapped,ClassName
^%ISCWorkQueue,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^%cspSession,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^%qCacheMsg,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^%qCacheMsgNames,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^%qCacheObjectErrors,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^%qCacheObjectKey,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^%qCacheObjectQualifier,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^%qCacheSQL,c:\intersystems\cache\mgrtwo\lab\4,0.00,Yes,%TSQL.sys.cacheMsgXRef
^%qHTMLElementD,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^%qJavaMetaDictionary,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^%qMgtPortal.Index,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^%qPublicSuffix,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^%qStream,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^%qcspRule,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^ACC,c:\intersystems\cache\mgrtwo\lab\4,0.00,Yes,SITE.GLAccession
^ADT,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^ADTERR,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^AMB,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^ANH,c:\intersystems\cache\mgrtwo\lab\4,0.00,Yes,SITE.GLAccessionHistory
^AP,c:\intersystems\cache\mgrtwo\lab\4,0.00,Yes,SITE.APBillWkLd
^APA,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^APDCC,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^API,c:\intersystems\cache\mgrtwo\lab\4,0.00,Yes,SITE.APMADiag
^APLOG,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^APW,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^ARIDX,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^BAD,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^BADT,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^BARC,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^BB,c:\intersystems\cache\mgrtwo\lab\4,0.00,Yes,SITE.BBACC
^BBLOG,c:\intersystems\cache\mgrtwo\lab\4,0.00,Yes,SITE.BBLog
^BBTMP,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^BBUA,c:\intersystems\cache\mgrtwo\lab\4,0.00,Yes,SITE.BBUnitDemo
^BDC,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^BID,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^BLT,c:\intersystems\cache\mgrtwo\lab\4,0.00,Yes,SITE.BLT28Patient
^BMF,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^BPF,c:\intersystems\cache\mgrtwo\lab\4,0.00,Yes,SITE.BBActiveUnits
^BSR,c:\intersystems\cache\mgrtwo\lab\4,0.00,Yes,SITE.BBBSGen
^BTH,c:\intersystems\cache\mgrtwo\lab\4,0.00,Yes,SITE.BBMerge
^BWS,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^CAP,c:\intersystems\cache\mgrtwo\lab\4,0.00,Yes,SITE.MGWkldDay
^CB,c:\intersystems\cache\mgrtwo\lab\4,0.00,Yes,SITE.CBContact
^CBPH,c:\intersystems\cache\mgrtwo\lab\4,0.00,Yes,SITE.CBPHPhone
^CDB,c:\intersystems\cache\mgrtwo\lab\4,0.00,Yes,SITE.CDBClient
^CIDX,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^CLMCCC,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^CLMCFG,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^CLMUSG,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^CMT,c:\intersystems\cache\mgrtwo\lab\4,0.00,Yes,SITE.GLComment
^CMTM,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^CNV,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^CPCON,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^CQUE,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^CRF,c:\intersystems\cache\mgrtwo\lab\4,0.00,Yes,SITE.CrossReference
^CacheSql,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^CacheTemp,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^CacheTemp.ISC.ExecuteQuery,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^CacheTemp.ISC.ExeucteQuery,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^CacheTemp.MgtPortalSettings,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^CacheTemp.MgtPortalTask,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^CacheTemp.Portal.UserPreference,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^CacheTemp.RecompileInfo,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^CacheTemp.SysMetrics,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^CacheTemp.cspGWClient,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
^CacheTemp.cspServer,c:\intersystems\cache\mgrtwo\lab\4,0.00,No,N/A
