,Hmo,Id,Rin,HistorySeq,Dict.HmoReferralStatusFlag.%ID,SecurityPlus.Usr.%ID,Dt
0,2,619919,100,,5,MKELLIHER,63405
1,2,621598,200,,5,SLANZA,63407
2,2,621598,200,,5,TFUENTES,63418
3,2,623688,100,,5,THKOWAL,63441
4,2,624340,100,,5,TFUENTES,63420
5,2,624870,100,,5,RSCULLY,63423
6,2,625690,100,,5,MKELLIHER,63426
7,2,625945,100,,5,RSCULLY,63427
8,2,626815,100,,5,DRUGGIERI,63435
9,2,627029,100,,5,TFUENTES,63446
10,2,627051,100,,5,SPICONE,63477
11,2,627155,100,,5,MKELLIHER,63445
12,2,628011,100,,5,RSCULLY,63439
13,2,628136,100,,5,RLOWE,63539
14,2,629043,100,,5,SLANZA,63708
15,2,629227,100,,5,TFUENTES,63725
16,2,630146,100,,5,TRUCCI,63454
17,2,630728,100,,5,RSCULLY,63453
18,2,631172,100,,5,KBECK,63461
19,2,632202,100,,5,RSCULLY,63461
20,2,632921,100,,5,THKOWAL,63487
21,2,634352,200,,5,TFUENTES,63473
22,2,634352,200,,5,TFUENTES,63517
23,2,635965,100,,5,RLOWE,63482
24,2,639003,100,,5,RSCULLY,63508
25,2,639227,200,,5,SLANZA,63498
26,2,639227,200,,5,SLANZA,63538
27,2,639467,100,,5,DDRAGONETTI,63511
28,2,639489,100,,5,SDONAHOE,63505
29,2,640833,100,,5,GERODRIGUEZ,63524
30,2,641893,100,,5,GBELO,63519
31,2,641986,100,,5,RSCULLY,63514
32,2,642010,100,,5,MKELLIHER,63525
33,2,644000,100,,5,TRUCCI,63558
34,2,644830,100,,5,MSCALZO,63560
35,2,645790,100,,5,ZDEMORAIS,63634
36,2,646622,300,,5,GBELO,63550
37,2,646622,300,,5,GERODRIGUEZ,63573
38,2,646622,300,,5,RSCULLY,63580
39,2,646915,100,,5,RSCULLY,63574
40,2,647118,100,,5,TFUENTES,63720
41,2,648516,100,,5,MKELLIHER,63565
42,2,648960,100,,5,THKOWAL,63651
43,2,650156,100,,5,RSCULLY,63568
44,2,651760,200,,5,MBERNAL,63593
45,2,651760,200,,5,PLECLERCQ,63655
46,2,654669,100,,5,RSCULLY,63606
47,2,654969,100,,5,RSCULLY,63588
48,2,655657,100,,5,SLACAVA,63610
49,2,656929,200,,5,RSCULLY,63601
50,2,656929,200,,5,CRUSSO,63602
51,2,657552,100,,5,CGARRIDO,63607
52,2,657662,100,,5,KKONONOWITZ,63603
53,2,657770,200,,5,GERODRIGUEZ,63621
54,2,657770,200,,5,PODONNELL,63636
55,2,659878,100,,5,KBECK,63620
56,2,660927,100,,5,VCHIN,63676
57,2,661593,100,,5,DRUGGIERI,63629
58,2,661929,100,,5,DDRAGONETTI,63634
59,2,663316,100,,5,SPICONE,63649
60,2,663705,100,,5,TFUENTES,63655
61,2,665336,100,,5,TRUCCI,63664
62,2,665629,200,,5,SLANZA,63648
63,2,665629,200,,5,SLANZA,63656
64,2,666538,200,,5,ZDEMORAIS,63678
65,2,666538,200,,5,RSCULLY,63686
66,2,667427,100,,5,VCHIN,63656
67,2,668614,100,,5,KKONONOWITZ,63670
68,2,668953,100,,5,GBELO,63664
69,2,669787,100,,5,KSIMARD,63670
70,2,671612,100,,5,OBARBOSA,63750
71,2,672314,100,,5,MKELLIHER,63687
72,2,673555,100,,5,GBELO,63693
73,2,674022,100,,5,RSCULLY,63693
74,2,674901,100,,5,SLANZA,63699
75,2,674992,100,,5,MSCALZO,63763
76,2,677349,100,,5,ZDEMORAIS,63746
77,2,678166,100,,5,TMACHOS,63733
78,2,679207,100,,5,RSCULLY,63743
79,2,679248,100,,5,TRUCCI,63747
80,2,679268,100,,5,SLANZA,63755
81,2,679625,100,,5,TGIOIA,63725
82,2,680770,100,,5,GBELO,63733
83,2,681147,100,,5,TFUENTES,63733
84,2,682502,100,,5,TRUCCI,63767
85,2,682518,100,,5,CGAFFNEY,63760
86,2,683963,100,,5,CAPARICIO,63747
87,2,684339,100,,5,SLANZA,63748
88,2,685561,100,,5,ZDEMORAIS,63754
89,2,686078,200,,5,RLOWE,63755
90,2,686078,200,,5,RLOWE,63755
91,2,686640,100,,5,CRUSSO,63764
92,2,686752,100,,5,MKELLIHER,63761
93,2,689012,100,,5,RLOWE,63768
