parent	ID	AccessType	DataAccess	Delimiter	Expression	LoopInitValue	Name	NextCode	NullMarker	StartValue	StopExpression	StopValue
Referrals.AuditIndex||DBMSStorage||DBMSMaster	Referrals.AuditIndex||DBMSStorage||DBMSMaster||1				{Hmo}		1					
Referrals.AuditIndex||DBMSStorage||DBMSMaster	Referrals.AuditIndex||DBMSStorage||DBMSMaster||2	sub	^["MHRHMO"]HMOREFAX({L1})		{Dt}		2					
Referrals.AuditIndex||DBMSStorage||DBMSMaster	Referrals.AuditIndex||DBMSStorage||DBMSMaster||3	sub	^["MHRHMO"]HMOREFAX({L1},{L2})		{Id}		3					
Referrals.AuditIndex||DBMSStorage||DBMSMaster	Referrals.AuditIndex||DBMSStorage||DBMSMaster||4	sub	^["MHRHMO"]HMOREFAX({L1},{L2},{L3})		{Rin}		4					
Referrals.FundDefault||DBMSStorage||DBMSMaster	Referrals.FundDefault||DBMSStorage||DBMSMaster||1				{Hmo}		1					
Referrals.FundDefault||DBMSStorage||DBMSMaster	Referrals.FundDefault||DBMSStorage||DBMSMaster||2	sub	^[$P(HMOTBL({L1}),"^",1)]HMOXFUND({L1})		{RefType}		2			1		
Referrals.FundDefaultBreakDown||DBMSStorage||DBMSMaster	Referrals.FundDefaultBreakDown||DBMSStorage||DBMSMaster||1				{Referrals.FundDefault.Hmo}		1					
Referrals.FundDefaultBreakDown||DBMSStorage||DBMSMaster	Referrals.FundDefaultBreakDown||DBMSStorage||DBMSMaster||2	sub	^[$P(HMOTBL({L1}),"^",1)]HMOXFUND({L1})		{Referrals.FundDefault.RefType}		2			1		
Referrals.FundDefaultBreakDown||DBMSStorage||DBMSMaster	Referrals.FundDefaultBreakDown||DBMSStorage||DBMSMaster||3	sub	^[$P(HMOTBL({L1}),"^",1)]HMOXFUND({L1},{L2})		{Param}		3					
Referrals.Local.ReferralLine||DBMSStorage||DBMSMaster	Referrals.Local.ReferralLine||DBMSStorage||DBMSMaster||1				{Line}		1					
Referrals.Referral||DBMSStorage||DBMSMaster	Referrals.Referral||DBMSStorage||DBMSMaster||1				{Hmo}		1					
Referrals.Referral||DBMSStorage||DBMSMaster	Referrals.Referral||DBMSStorage||DBMSMaster||2	sub	^["MHRHMO"]HMOREF({L1})		{Id}		2					
